Month/Year,Victim of the Conflict,Municipality,Reason for consultation,Previous complaints,Scene of Violence,Type of Violence,Remission,Entity to which it refers
June-2017,Yes,Soledad,mistreatment by the governor's escort,Yes,Others,Psychological - Physical,None,None
June-2017,No,Soledad,LEGAL ADVICE TO MAKE YOUR TESTIMONY PUBLIC,Yes,VIF,All of the above,Psycho-Legal,None
June-2017,No,Soledad,ATTENDANT FEARS FOR HIS LIFE FROM HIS EX PARTNER.,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
June-2017,Yes,Barranquilla,VICTIM OF DOMESTIC VIOLENCE PSYCHOLOGICAL ADVICE.,No,VIF,Psychological - Physical - Sexual,Psychological Orientation,None
June-2017,No,Barranquilla,SEPARATION FROM YOUR PARENTS,No,VIF,Psychological,Psychological Orientation,None
June-2017,No,Malambo,ABUSE BY HER BOYFRIEND,No,Others,Psychological - Physical,Legal advice,Prosecutor's office
June-2017,No,Malambo,ABUSE AND THREAT OF DEATH,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
June-2017,No,Barranquilla,PHYSICAL AND PSYCHOLOGICAL ABUSE,Yes,VIF,Psychological - Physical - Heritage,Psychological Orientation,None
June-2017,NO,Barranquilla,PHYSICAL AND PSYCHOLOGICAL ABUSE,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
June-2017,No,Soledad,VICTIM OF DOMESTIC VIOLENCE PSYCHOLOGICAL ADVICE.,Yes,VIF,Psychological,Legal advice,Family commissary
June-2017,No,Barranquilla,PHYSICAL HARASSMENT,Yes,Others,Physical,Legal advice,Police Inspection
June-2017,NO,Barranquilla,VICTIM OF VIF,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
June-2017,No,Barranquilla,harassed by her ex partner,No,Others,Psychological,Psychological Orientation,Police Inspection
June-2017,No,Barranquilla,query,Yes,VIF,Psychological - Physical,Psycho-Legal,Ombudsman's Office
June-2017,No,Barranquilla,You suspect your granddaughter was a victim of abuse,No,Does not apply,Does not apply,Psycho-Legal,None
June-2017,No,Barranquilla,She attends for her grandmother who suspects that her granddaughter has been a victim of abuse,No,Does not apply,Does not apply,Psychological Orientation,None
June-2017,No,Barranquilla,Abuse by your partner,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
June-2017,NO,Barranquilla,ORIENTATION,No,Does not apply,Does not apply,Social work,None
June-2017,No,Barranquilla,orientation,Yes,VIF,Physical - Heritage,Legal advice,Ombudsman's Office
June-2017,No,Barranquilla,orientation,No,Does not apply,Does not apply,Legal advice,None
June-2017,No,Barranquilla,LEGAL GUIDANCE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
June-2017,No,Barranquilla,counseling for domestic violence,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Family commissary
June-2017,No,Barranquilla,PSYCHOLOGICAL SUPPORT,Yes,Others,Psychological - Physical,None,None
June-2017,No,Colombian Port,AGGRESSIONS BY A NEIGHBOR,Yes,Others,Psychological,Legal advice,Police Inspection
June-2017,No,Barranquilla,mistreatment by her partner against her and her children,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
June-2017,No,Barranquilla,his minor daughter has a behavior problem (Ana Michelle Rangel Artega),No,Does not apply,Psychological,Psychological Orientation,None
June-2017,No,Soledad,mistreatment by her husband,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
June-2017,No,Soledad,her husband mistreats her and the police station gave her wrong information,Yes,VIF,Psychological - Physical - Heritage,Legal advice,None
June-2017,No,Barranquilla,HER HUSBAND THE ULTRAJA IN DIVORCE PROCESS,Yes,VIF,Psychological - Patrimonial,Legal advice,None
June-2017,No,Soledad,"family conflicts with ex-husband, mother and sisters",Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
June-2017,No,Barranquilla,she was physically assaulted by a former neighbor who is jealous of her husband with her,Yes,Others,Physical,Psycho-Legal,None
