DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,AGRUPA EDAD PERSONA,CANTIDAD
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,3/23/15,MASCULINO,ADULTOS,2
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,6/6/15,FEMENINO,ADOLESCENTES,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,8/9/15,MASCULINO,ADULTOS,2
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,8/16/15,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,10/13/15,FEMENINO,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,91540000,ARMA BLANCA / CORTOPUNZANTE,3/15/15,FEMENINO,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,91540000,ARMA BLANCA / CORTOPUNZANTE,3/15/15,MASCULINO,MENORES,1
AMAZONAS,PUERTO NARIÑO,91540000,ARMA BLANCA / CORTOPUNZANTE,9/12/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,5/10/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,6/22/15,FEMENINO,ADULTOS,1
ANTIOQUIA,AMALFI,05031000,ARMA BLANCA / CORTOPUNZANTE,7/12/15,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,3/9/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,8/11/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,11/29/15,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/11/15,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/13/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ANGELÓPOLIS,05036000,ARMA BLANCA / CORTOPUNZANTE,4/16/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ANORÍ,05040000,ARMA BLANCA / CORTOPUNZANTE,9/14/15,FEMENINO,ADULTOS,1
ANTIOQUIA,ANZA,05044000,ARMA BLANCA / CORTOPUNZANTE,4/27/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,1/2/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,1/30/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,2/1/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,2/1/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,2/2/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,2/15/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,3/22/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,3/22/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,3/23/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/11/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/12/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/13/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/15/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/19/15,FEMENINO,ADOLESCENTES,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,5/7/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,6/4/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,6/14/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,6/28/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,7/6/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,7/8/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,7/12/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,7/16/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,7/27/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,8/5/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,8/20/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,10/1/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,10/4/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,10/12/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/2/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/14/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/19/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/21/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,12/4/15,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,12/22/15,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,12/26/15,FEMENINO,ADULTOS,2
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,12/28/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,7/20/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,9/30/15,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,11/28/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,2/10/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,2/15/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,3/15/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,3/25/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,3/29/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,4/25/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,4/29/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,5/13/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,5/20/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,5/25/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,5/27/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,5/31/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,6/7/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,6/13/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,7/11/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,7/12/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,9/4/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,9/7/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,9/22/15,MASCULINO,ADULTOS,2
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,9/26/15,FEMENINO,ADOLESCENTES,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,9/27/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,9/30/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,10/4/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,11/22/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,12/6/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,12/19/15,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,12/24/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,12/25/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BELMIRA,05086000,ARMA BLANCA / CORTOPUNZANTE,5/19/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BETANIA,05091000,ARMA BLANCA / CORTOPUNZANTE,4/2/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BETANIA,05091000,ARMA BLANCA / CORTOPUNZANTE,12/7/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BRICEÑO,05107000,ARMA BLANCA / CORTOPUNZANTE,11/22/15,FEMENINO,ADULTOS,1
ANTIOQUIA,BURITICÁ,05113000,ARMA BLANCA / CORTOPUNZANTE,11/22/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,2/26/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,4/21/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,4/23/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,7/10/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,9/4/15,MASCULINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,10/14/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,10/18/15,FEMENINO,ADULTOS,2
ANTIOQUIA,CAÑASGORDAS,05138000,ARMA BLANCA / CORTOPUNZANTE,10/26/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CAREPA,05147000,ARMA BLANCA / CORTOPUNZANTE,6/9/15,MASCULINO,ADULTOS,1
ANTIOQUIA,CAREPA,05147000,ARMA BLANCA / CORTOPUNZANTE,6/27/15,MASCULINO,ADULTOS,1
ANTIOQUIA,CAREPA,05147000,ARMA BLANCA / CORTOPUNZANTE,7/20/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CAREPA,05147000,ARMA BLANCA / CORTOPUNZANTE,10/17/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,3/14/15,FEMENINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,10/1/15,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,10/5/15,FEMENINO,ADOLESCENTES,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,12/13/15,MASCULINO,ADULTOS,1
