,Year,Census Tract,Age Group,Men (rate per hundred thousand inhabitants),Women (rate per hundred thousand inhabitants)
0,2007,Bogotá D.C.,"Boys, girls and adolescents or minors (<18 years)",56.94665290529462,272.7627922063561
1,2007,Bogotá D.C.,Adults or of legal age (> 18 years),1.9041436379682701,26.26095307058913
2,2007,Bolívar,"Boys, girls and adolescents or minors (<18 years)",23.239903698017034,131.62215411558668
3,2007,Bolívar,Adults or of legal age (> 18 years),0.5218090074670869,10.100670011110736
4,2007,Boyacá,"Boys, girls and adolescents or minors (<18 years)",20.632621437714747,136.8558049670607
5,2007,Boyacá,Adults or of legal age (> 18 years),1.021041104562267,15.932036383868937
6,2007,Caldas,"Boys, girls and adolescents or minors (<18 years)",53.45027605852805,212.30607886019772
7,2007,Caldas,Adults or of legal age (> 18 years),1.6037514954982697,12.360030017215756
8,2007,Caquetá,"Boys, girls and adolescents or minors (<18 years)",21.07192902974303,105.20317362907115
9,2007,Caquetá,Adults or of legal age (> 18 years),0.8116619590273042,9.864283894090473
10,2007,Cauca,"Boys, girls and adolescents or minors (<18 years)",14.851117546595383,72.3967834559034
11,2007,Cauca,Adults or of legal age (> 18 years),0.25230480438808517,11.252017051920387
12,2007,Cesar,"Boys, girls and adolescents or minors (<18 years)",27.006987444206022,133.02877649618702
13,2007,Cesar,Adults or of legal age (> 18 years),1.923298842174097,17.342725464655896
14,2007,Córdoba,"Boys, girls and adolescents or minors (<18 years)",13.671757011544686,115.2239665850497
15,2007,Córdoba,Adults or of legal age (> 18 years),1.7992933275456064,11.445022075686811
16,2007,Cundinamarca,"Boys, girls and adolescents or minors (<18 years)",42.43382044300909,186.3461289409688
17,2007,Cundinamarca,Adults or of legal age (> 18 years),1.6168410160228943,13.499557004828386
18,2007,Chocó,"Boys, girls and adolescents or minors (<18 years)",20.75514122144006,112.38761238761239
19,2007,Chocó,Adults or of legal age (> 18 years),5.26551351920596,28.101960525010742
20,2007,Huila,"Boys, girls and adolescents or minors (<18 years)",31.156324497840302,172.77448253796362
21,2007,Huila,Adults or of legal age (> 18 years),1.2882157246052426,17.4831287807266
22,2007,La Guajira,"Boys, girls and adolescents or minors (<18 years)",6.625707746054693,74.27472911569382
23,2007,La Guajira,Adults or of legal age (> 18 years),0.504306779900349,7.091460935505527
24,2007,Magdalena,"Boys, girls and adolescents or minors (<18 years)",15.40509474133266,109.38289814960598
25,2007,Magdalena,Adults or of legal age (> 18 years),0.8914244963451595,11.806061822442732
26,2007,Antioquia,"Boys, girls and adolescents or minors (<18 years)",31.622177820384035,136.8350297676205
27,2007,Antioquia,Adults or of legal age (> 18 years),1.2979385490993929,15.998182922433502
28,2007,Meta,"Boys, girls and adolescents or minors (<18 years)",58.530130293159615,245.9594727367442
29,2007,Meta,Adults or of legal age (> 18 years),4.314960753470601,15.735207921103667
30,2007,Nariño,"Boys, girls and adolescents or minors (<18 years)",12.090120411064095,99.89324124389398
31,2007,Nariño,Adults or of legal age (> 18 years),0.4117624048571493,14.485580811433952
32,2007,Norte de Santander,"Boys, girls and adolescents or minors (<18 years)",39.86614639332181,164.3104242081209
33,2007,Norte de Santander,Adults or of legal age (> 18 years),1.3181169907916348,11.98056153890313
34,2007,Quindio,"Boys, girls and adolescents or minors (<18 years)",43.053960964408724,288.3565971623873
35,2007,Quindio,Adults or of legal age (> 18 years),1.7178490239754463,19.121779175320157
36,2007,Risaralda,"Boys, girls and adolescents or minors (<18 years)",53.60983805906235,205.04169409699364
37,2007,Risaralda,Adults or of legal age (> 18 years),1.721680084293457,20.660574927453208
38,2007,Santander,"Boys, girls and adolescents or minors (<18 years)",48.34963694602972,214.55915507875744
39,2007,Santander,Adults or of legal age (> 18 years),1.5889409708429334,19.949025772950314
40,2007,Sucre,"Boys, girls and adolescents or minors (<18 years)",24.133514025284498,182.39616446922716
41,2007,Sucre,Adults or of legal age (> 18 years),0.8431454383723921,12.775035876559087
42,2007,Tolima,"Boys, girls and adolescents or minors (<18 years)",31.414495107767042,152.3574559164117
43,2007,Tolima,Adults or of legal age (> 18 years),2.5502692852522566,10.97732496312305
44,2007,Valle del Cauca,"Boys, girls and adolescents or minors (<18 years)",28.632583599424542,139.68775677896465
45,2007,Valle del Cauca,Adults or of legal age (> 18 years),0.9619568273775873,13.432521197781906
46,2007,Atlántico,"Boys, girls and adolescents or minors (<18 years)",21.14590926165948,120.6064782908339
47,2007,Atlántico,Adults or of legal age (> 18 years),0.576012810524906,9.785273565418574
48,2007,Arauca,"Boys, girls and adolescents or minors (<18 years)",25.377950186709203,132.6111318640269
49,2007,Arauca,Adults or of legal age (> 18 years),0.0,10.893585234523329
50,2007,Casanare,"Boys, girls and adolescents or minors (<18 years)",21.557033752155704,203.96036423787882
51,2007,Casanare,Adults or of legal age (> 18 years),3.2667995165136716,12.443861217009626
52,2007,Putumayo,"Boys, girls and adolescents or minors (<18 years)",5.5432372505543235,34.43377953772651
53,2007,Putumayo,Adults or of legal age (> 18 years),0.0,4.693568637574364
54,2007,"Archipiélago de San Andrés, Providencia y Santa Catalina","Boys, girls and adolescents or minors (<18 years)",40.02241255102858,284.1858910063524
55,2007,"Archipiélago de San Andrés, Providencia y Santa Catalina",Adults or of legal age (> 18 years),0.0,33.25988442190163
56,2007,Amazonas,"Boys, girls and adolescents or minors (<18 years)",63.07339449541285,307.1107961256792
57,2007,Amazonas,Adults or of legal age (> 18 years),44.4247001332741,52.65005265005265
58,2007,Guaviare,"Boys, girls and adolescents or minors (<18 years)",42.39443784975411,233.08011049723757
59,2007,Guaviare,Adults or of legal age (> 18 years),0.0,17.065574469900593
60,2007,Vichada,"Boys, girls and adolescents or minors (<18 years)",13.20829480914014,96.61835748792271
61,2007,Vichada,Adults or of legal age (> 18 years),0.0,14.078558355624384
62,2007,Sin información,"Boys, girls and adolescents or minors (<18 years)",0.0,0.0
63,2008,Bogotá D.C.,"Boys, girls and adolescents or minors (<18 years)",53.95910588613481,269.25301861834424
64,2008,Bogotá D.C.,Adults or of legal age (> 18 years),1.9037861113611032,26.39062001962731
65,2008,Bolívar,"Boys, girls and adolescents or minors (<18 years)",22.230126267117196,115.54742646857493
66,2008,Bolívar,Adults or of legal age (> 18 years),0.6828199096629259,13.7391741928649
67,2008,Boyacá,"Boys, girls and adolescents or minors (<18 years)",27.230798032574842,140.4164634917195
